Category,Description
Architecture,"Best practices for cloud design, Well-Architected Framework, system scalability, high availability, and reference blueprints for infrastructure."
Artificial Intelligence,"Generative AI, machine learning models, SageMaker, neural networks, computer vision, natural language processing (NLP), and Bedrock."
AWS Cloud Operations,"Management and governance, systems manager, monitoring, compliance, observability, and operational excellence in the cloud."
AWS for Games,"Game development, backend servers for gaming, low latency matchmaking, game analytics, and specialized engines in the cloud."
AWS Insight,"Deep dives into cloud trends, executive perspectives, thought leadership, and expert analysis on the future of technology and cloud adoption."
AWS Marketplace,"Buying and selling third-party software, SaaS solutions, data products, and professional services that run on AWS infrastructure."
AWS News,"Official announcements, new service launches, feature updates, and major company news from AWS re:Invent and other events."
AWS Partner Network,"Resources for APN partners, consulting services, software vendors (ISVs), certification for partners, and collaborative business growth."
AWS Smart Business,"Cloud solutions for small and medium businesses (SMBs), digital transformation for growing companies, and cost-effective business tools."
Big Data,"Large scale data processing, Apache Spark, EMR, Glue, data lakes, analytics at scale, and streaming data processing."
Business Intelligence,"Data visualization, Amazon QuickSight, business analytics, reporting, dashboards, and converting raw data into actionable insights for decision making."
Cloud Enterprise Strategy,"Digital transformation, C-level cloud adoption, cloud center of excellence (CCoE), cultural change, and organizational readiness for large-scale cloud migration."
Cloud Financial Management,"FinOps, AWS Cost Explorer, cost optimization, budgets, Savings Plans, Reserved Instances, and unit economics for cloud spending."
Compute,"Amazon EC2, AWS Lambda, serverless computing, instance types, Graviton processors, AWS Outposts, and high-performance virtual machine management."
Contact Center,"Amazon Connect, customer service automation, omnichannel experience, IVR (Interactive Voice Response), and contact center AI for agent productivity."
Containers,"Docker, Kubernetes, Amazon EKS, Amazon ECS, AWS Fargate, microservices, container registries (ECR), and container orchestration."
Database,"Relational and NoSQL databases, Amazon Aurora, RDS, DynamoDB, Redshift, database migration (DMS), and purpose-built data stores."
Desktop & App Streaming,"End-user computing, Amazon WorkSpaces, AppStream 2.0, virtual desktops (VDI), remote work infrastructure, and secure application delivery."
Developer Tools,"AWS Cloud9, CodeCommit, CodeBuild, CodeDeploy, software development kits (SDKs), Command Line Interface (CLI), and integrated development environments."
DevOps & Developer Productivity,"Continuous integration and delivery (CI/CD), infrastructure as code (IaC), AWS CDK, CloudFormation, automation, and accelerating software release cycles."
Front-End Web & Mobile,"Web and mobile app development, AWS Amplify, AppSync, GraphQL, authentication (Cognito), hosting, and cross-platform framework integration."
HPC,"High Performance Computing, AWS ParallelCluster, Elastic Fabric Adapter (EFA), complex simulations, weather forecasting, and massive computational workloads."
IBM & Red Hat,"Running IBM software on AWS, Red Hat Enterprise Linux (RHEL), OpenShift on AWS (ROSA), and modernization of legacy enterprise workloads."
Industries,"Vertical-specific solutions for Healthcare, Financial Services, Retail, Automotive, Energy, and Manufacturing using AWS specialized services."
Infrastructure & Sustainability,"Global cloud infrastructure, data center efficiency, renewable energy, carbon footprint tracking (Customer Carbon Footprint Tool), and green IT."
Integration & Automation,"Event-driven architectures, Amazon EventBridge, Step Functions, SQS, SNS, application integration, and workflow orchestration."
Internet of Things,"IoT Core, Greengrass at the edge, device management, industrial IoT (SiteWise), and processing real-time telemetry from connected sensors."
Media,"MediaLive, MediaConvert, video streaming, content delivery, digital asset management, and cloud-based broadcasting and post-production."
Messaging & Targeting,"Customer engagement, Amazon Pinpoint, SES (Simple Email Service), push notifications, SMS marketing, and personalized user communication."
Microsoft Workloads on AWS,"Running SQL Server on AWS, .NET applications, Active Directory integration, Windows Server migration, and optimizing Microsoft licenses (BYOL)."
Migration & Modernization,"Cloud Adoption Framework (CAF), Application Migration Service (MGN), refactoring monolithic apps to microservices, and mainframe modernization."
Multicloud,"Hybrid cloud strategies, AWS Outposts, Anthos on AWS, connectivity between cloud providers, and consistent operations across distributed environments."
.NET on AWS,"Modernizing ASP.NET applications, running .NET 6/8 on Linux or Lambda, Porting Assistant for .NET, and optimizing Visual Studio workflows on AWS."
Networking & Content Delivery,"Amazon VPC, Route 53, CloudFront (CDN), AWS Global Accelerator, Transit Gateway, PrivateLink, and network security/latency optimization."
Open Source,"Contributions to Linux, Kubernetes, Apache Spark, Redis, PostgreSQL, and AWS involvement in the open source community and managed OSS services."
Public Sector,"Solutions for Government, Education, Non-profits, and Healthcare; compliance (FedRAMP, HIPAA), and digital transformation for public institutions."
Quantum Technologies,"Amazon Braket, quantum computing algorithms, hardware-agnostic development, quantum simulators, and post-quantum cryptography research."
Robotics,"AWS RoboMaker, robot fleet management, ROS (Robot Operating System), autonomous mobile robots (AMR), and simulation for robotic testing."
SAP,"SAP HANA on AWS, SAP S/4HANA migration, AWS Launch Wizard for SAP, high availability for SAP workloads, and integrating SAP with AWS services."
Security,"Identity and Access Management (IAM), AWS Shield (DDoS), GuardDuty, Key Management Service (KMS), threat detection, and proactive cloud security."
Spatial Computing,"AR/VR (Augmented and Virtual Reality), digital twins, AWS IoT TwinMaker, 3D visualization, and immersive experiences in the metaverse or industry."
Storage,"Amazon S3 (object storage), EBS (block storage), EFS and FSx (file systems), Storage Gateway, AWS Backup, and data lifecycle management."
Supply Chain & Logistics,"AWS Supply Chain, inventory management, demand planning, logistics tracking, and end-to-end visibility for global commerce and delivery."
Training & Certification,"AWS Skill Builder, cloud practitioner and professional certifications, hands-on labs, technical training for teams, and building cloud expertise."
Web3,"Amazon Managed Blockchain, decentralized applications (dApps), NFTs, Ethereum, Hyperledger Fabric, and decentralized identity and finance (DeFi)."
